status,folder,phase,knot,line,filename,ink_speaker,say_this,ink_src_line,note
MISSING,Mandy,2,Mandy_story_phase_1,54,Mandy/p_2/p_2_l_54.wav,Mrs Wong,...,419,candidate: Mandy/p_3/p_3_l_54.wav (rename p_3→p_2)
MISSING,Mandy,2,Mandy_story_phase_1,55,Mandy/p_2/p_2_l_55.wav,Mrs Wong,Give me your clothes and I’ll toss them in for you.,425,candidate wrong author: MC/p_3/p_3_l_55.wav
MISSING,MC,2,Mandy_story_phase_1,57,MC/p_2/p_2_l_57.wav,You,I’ll do it myself—no need to trouble you. You must be tired.,430,candidate: MC/p_3/p_3_l_57.wav (rename p_3→p_2)
MISSING,Mandy,2,Mandy_story_phase_1,58,Mandy/p_2/p_2_l_58.wav,Mrs Wong,Okay. Let me at least help you separate the colors from the whites—,431,candidate wrong author: MC/p_3/p_3_l_58.wav
MISSING,MC,2,Mandy_story_phase_1,59,MC/p_2/p_2_l_59.wav,You,"No, thanks—I’ll just tuck everything in one big load.",436,candidate: MC/p_3/p_3_l_59.wav (rename p_3→p_2)
MISSING,Mandy,2,Mandy_story_phase_1,60,Mandy/p_2/p_2_l_60.wav,Mrs Wong,"That would ruin your clothes, Miss Lee.",437,candidate: Mandy/p_3/p_3_l_60.wav (rename p_3→p_2)
MISSING,MC,2,Mandy_story_phase_1,61,MC/p_2/p_2_l_61.wav,You,It will be fine.,439,candidate: MC/p_3/p_3_l_61.wav (rename p_3→p_2)
MISSING,MC,2,Mandy_story_phase_1,62,MC/p_2/p_2_l_62.wav,You,"Nah, I don’t mind.",441,candidate wrong author: Mandy/p_3/p_3_l_62.wav
MISSING,MC,2,Mandy_story_phase_1,63,MC/p_2/p_2_l_63.wav,You,"I’m short on cash, so I’ll just wash one load.",443,candidate: MC/p_3/p_3_l_63.wav (rename p_3→p_2)
MISSING,Mandy,2,Mandy_story_phase_1,64,Mandy/p_2/p_2_l_64.wav,Mrs Wong,Sure. That comes to 80 cents in total.,448,candidate wrong author: MC/p_3/p_3_l_64.wav
MISSING,MC,2,Mandy_story_phase_1,65,MC/p_2/p_2_l_65.wav,You,Here.,451,candidate wrong author: Mandy/p_3/p_3_l_65.wav
MISSING,Mandy,2,Mandy_story_phase_1,66,Mandy/p_2/p_2_l_66.wav,Mrs Wong,Here you go. Machine Nr. 4. It’s the one on your left.,455,
MISSING,MC,2,Mandy_story_phase_1,67,MC/p_2/p_2_l_67.wav,You,"Thank you, Mrs Wong.",457,
MISSING,MC,2,Mandy_story_phase_1,68,MC/p_2/p_2_l_68.wav,You,...,459,
MISSING,MC,2,Mandy_story_phase_1,69,MC/p_2/p_2_l_69.wav,You,Which washer was it again?,468,
MISSING,Mandy,2,Mandy_story_phase_1,70,Mandy/p_2/p_2_l_70.wav,Mrs Wong,Machine Nr. 4. It’s the one on your left.,469,
MISSING,MC,2,Mandy_story_phase_1,71,MC/p_2/p_2_l_71.wav,You,Nothing. I got this.,473,
WRONG_FOLDER,MC,3,LAU_story_phase_1,2,MC/p_3/p_3_l_2.wav,You,Good Evening.,166,exists as Mandy/p_3/p_3_l_2.wav — move to MC
WRONG_FOLDER,MC,3,LAU_story_phase_1,4,MC/p_3/p_3_l_4.wav,You,Fuck off.,170,exists as Mandy/p_3/p_3_l_4.wav — move to MC
MISSING,MC,3,LAU_story_phase_1,10,MC/p_3/p_3_l_10.wav,You,...,184,
MISSING,MC,3,LAU_story_phase_1,12,MC/p_3/p_3_l_12.wav,You,"Sorry, but you don’t look like a police officer.",187,
WRONG_FOLDER,MC,3,LAU_story_phase_1,18,MC/p_3/p_3_l_18.wav,You,I can’t sleep.,205,exists as Mandy/p_3/p_3_l_18.wav — move to MC
WRONG_FOLDER,MC,3,LAU_story_phase_1,25,MC/p_3/p_3_l_25.wav,You,...,215,exists as Mandy/p_3/p_3_l_25.wav — move to MC
WRONG_FOLDER,MC,3,LAU_story_phase_1,28,MC/p_3/p_3_l_28.wav,You,"I need to wash some clothes for my boyfriend, Officer.",223,exists as Mandy/p_3/p_3_l_28.wav — move to MC
WRONG_FOLDER,MC,3,LAU_story_phase_1,29,MC/p_3/p_3_l_29.wav,You,It’s none of your business.,227,exists as Mandy/p_3/p_3_l_29.wav — move to MC
MISSING,MC,3,LAU_story_phase_1,37,MC/p_3/p_3_l_37.wav,You,He’s sick and he needs his clothes for work tomorrow.,250,
MISSING,MC,3,LAU_story_phase_1,39,MC/p_3/p_3_l_39.wav,You,"He’s busy tonight, and since I have nothing to do at home anyway,",254,
WRONG_FOLDER,MC,3,LAU_story_phase_1,44,MC/p_3/p_3_l_44.wav,You,...He’s a hardworking guy.,264,exists as Mandy/p_3/p_3_l_44.wav — move to MC
WRONG_FOLDER,MC,3,LAU_story_phase_1,50,MC/p_3/p_3_l_50.wav,You,Which machine did I put my clothes in again?,283,exists as Mandy/p_3/p_3_l_50.wav — move to MC
MISSING,MC,3,LAU_story_phase_1,52,MC/p_3/p_3_l_52.wav,You,Where can I find detergent?,286,
MISSING,MC,6,Mandy_story_phase_2,29,MC/p_6/p_6_l_29.wav,You,"Thank you, Mrs Wong.",585,
MISSING,MC,6,Mandy_story_phase_2,30,MC/p_6/p_6_l_30.wav,You,Where is the backroom?,595,
MISSING,Mandy,6,Mandy_story_phase_2,31,Mandy/p_6/p_6_l_31.wav,Mrs Wong,"The backroom is at the corner, near the washer Nr. 9.",596,
MISSING,MC,6,Mandy_story_phase_2,32,MC/p_6/p_6_l_32.wav,You,Which one is the heavy-duty detergent again?,598,
MISSING,MC,7,LAU_story_phase_2,5,MC/p_7/p_7_l_5.wav,You,Nothing. Just some heavy-duty detergents.,629,
MISSING,MC,7,LAU_story_phase_2,6,MC/p_7/p_7_l_6.wav,You,Sorry to bother you. Do you have some heavy-duty detergent by chance?,631,
MISSING,MC,7,LAU_story_phase_2,7,MC/p_7/p_7_l_7.wav,You,Nothing.,633,
MISSING,MC,7,LAU_story_phase_2,10,MC/p_7/p_7_l_10.wav,You,No. Do you have the detergent or not?,648,
MISSING,MC,7,LAU_story_phase_2,13,MC/p_7/p_7_l_13.wav,You,"Ew, shouldn’t you be with your wife and kids?",661,
MISSING,MC,7,LAU_story_phase_2,23,MC/p_7/p_7_l_23.wav,You,They don’t have heavy-duty detergent anymore.,682,
MISSING,MC,7,LAU_story_phase_2,25,MC/p_7/p_7_l_25.wav,You,I think heavy-duty detergent gets clothes cleaner and makes them smell nicer.,686,
MISSING,MC,7,LAU_story_phase_2,28,MC/p_7/p_7_l_28.wav,You,"If you really want to take a whiff of my cat’s pee, go ahead.",693,
MISSING,MC,7,LAU_story_phase_2,30,MC/p_7/p_7_l_30.wav,You,What’s wrong with your nose?,696,
MISSING,Mandy,18,Mandy_story_phase_4,5,Mandy/p_18/p_18_l_5.wav,Mrs Wong,What happened with your arm?,1021,
WRONG_FOLDER,MC,18,Mandy_story_phase_4,10,MC/p_18/p_18_l_10.wav,You,"Oh, I was too clumsy, I accidentally bumped into the corner of the table.",1028,exists as Mandy/p_18/p_18_l_10.wav — move to MC
WRONG_FOLDER,Mandy,18,Mandy_story_phase_4,11,Mandy/p_18/p_18_l_11.wav,Mrs Wong,Really? I thought these come from... You know.,1029,exists as MC/p_18/p_18_l_11.wav — move to Mandy
WRONG_FOLDER,MC,18,Mandy_story_phase_4,12,MC/p_18/p_18_l_12.wav,You,"Oh, you don’t really need to know, Mrs Wong.",1031,exists as Mandy/p_18/p_18_l_12.wav — move to MC
MISSING,Mandy,18,Mandy_story_phase_4,14,Mandy/p_18/p_18_l_14.wav,Mrs Wong,"Whenever my husband comes home drunk, I have to put up with that, too.",1034,
WRONG_FOLDER,MC,18,Mandy_story_phase_4,21,MC/p_18/p_18_l_21.wav,You,I understand...I feel so sorry for you.,1043,exists as Mandy/p_18/p_18_l_21.wav — move to MC
MISSING,Mandy,18,Mandy_story_phase_4,23,Mandy/p_18/p_18_l_23.wav,Mrs Wong,Here you are. Washer Nr. 9.,1046,
MISSING,MC,19,LAU_story_phase_3,23,MC/p_19/p_19_l_23.wav,You,I’m... having the time of the month.,1110,
MISSING,MC,19,LAU_story_phase_3,26,MC/p_19/p_19_l_26.wav,You,I accidentally put it in the wrong spot on the bedsheet.,1115,
MISSING,MC,19,LAU_story_phase_3,33,MC/p_19/p_19_l_33.wav,You,That as well.,1143,
MISSING,MC,19,LAU_story_phase_3,36,MC/p_19/p_19_l_36.wav,You,"He’s taking some rest, so I’d just do some housework before this here closes.",1149,
MISSING,MC,19,LAU_story_phase_3,39,MC/p_19/p_19_l_39.wav,You,She recently bought a pager and has been using it all the time.,1156,
MISSING,MC,19,LAU_story_phase_3,47,MC/p_19/p_19_l_47.wav,You,There’s no need to overthink it.,1177,
MISSING,MC,19,LAU_story_phase_3,48,MC/p_19/p_19_l_48.wav,You,The bottle of wine my boyfriend spilled might just have been made differently.,1178,
MISSING,MC,19,LAU_story_phase_3,49,MC/p_19/p_19_l_49.wav,You,Why do you need to overthink so much?,1181,
MISSING,MC,19,LAU_story_phase_3,55,MC/p_19/p_19_l_55.wav,You,...,1193,
MISSING,MC,19,LAU_story_phase_3,57,MC/p_19/p_19_l_57.wav,You,Of course I won’t lie to you.,1199,
WRONG_FOLDER,MC,21,Chaos_blackout,3,MC/p_21/p_21_l_3.wav,You,I can do it. I’m standing next to it.,1241,exists as Mandy/p_21/p_21_l_3.wav — move to MC
WRONG_FOLDER,Mandy,21,Chaos_blackout,4,Mandy/p_21/p_21_l_4.wav,Mrs Wong,"Thank you, Miss Lee.",1242,exists as MC/p_21/p_21_l_4.wav — move to Mandy
MISSING,MC,27,Mandy_smoking_scene_2,6,MC/p_27/p_27_l_6.wav,You,Nothing.,1374,
MISSING,Mandy,27,Mandy_smoking_scene_2,10,Mandy/p_27/p_27_l_10.wav,Mrs Wong,Calm down and take a deep breath. I’m here.,1382,
MISSING,MC,30,Lau_confess_ending,14,MC/p_30/p_30_l_14.wav,You,"He’s at our apartment. 4th Floor, Block 3, 32 Lin Faa Street.",1493,
MISSING,MC,31,Boyfriend_ending_dialogue_final,4,MC/p_31/p_31_l_4.wav,You,"I love you, too.",1521,
MISSING,MC,31,Boyfriend_ending_dialogue_final,8,MC/p_31/p_31_l_8.wav,You,We’ve got us.,1525,
